issue_id,work_id,type,severity,evidence,resolution
DISC-011,PRESENTATION-HANDOFF-RUN361,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/PRESENTATION-HANDOFF-RUN361/MERGE_PACKET.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-012,ROUTE-VALID-001,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-001/ROUTE-VALID-001-20260729-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/ROUTE-VALID-001/ROUTE-VALID-001-20260729-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-013,STRICT-STEP-006,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-006/STRICT-STEP-006-20260728-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-006/STRICT-STEP-006-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-014,STRICT-STEP-007,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-007/STRICT-STEP-007-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-015,STRICT-STEP-007,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-007/STRICT-STEP-007-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-016,STRICT-STEP-008,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-008/STRICT-STEP-008-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-017,STRICT-STEP-008,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-008/STRICT-STEP-008-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-018,STRICT-STEP-009,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-009/STRICT-STEP-009-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-019,STRICT-STEP-009,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-009/STRICT-STEP-009-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-020,STRICT-STEP-010,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-010/STRICT-STEP-010-20260728-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-010/STRICT-STEP-010-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-021,STRICT-STEP-011,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-011/STRICT-STEP-011-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-022,STRICT-STEP-011,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-011/STRICT-STEP-011-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-023,STRICT-STEP-012,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-012/STRICT-STEP-012-20260728-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-024,STRICT-STEP-012,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-012/STRICT-STEP-012-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-025,STRICT-STEP-013,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-013/STRICT-STEP-013-20260728-001/INDEPENDENT_QA.json; experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-013/STRICT-STEP-013-20260728-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-026,STRICT-STEP-015,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-015/STRICT-STEP-015-20260729-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-027,STRICT-STEP-015,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-015/STRICT-STEP-015-20260729-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-028,STRICT-STEP-017,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-017/STRICT-STEP-017-20260729-001/REPORT.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-029,STRICT-STEP-017,artifact_without_identified_merge_packet,review,experiments/lab_001_xy_connection_20260626/results/STRICT-STEP-017/STRICT-STEP-017-20260729-001/REPORT.md,Check producer contract; some work roots are intermediate/archival.
DISC-030,STRICT-STEP-025,completed_artifact_without_identified_independent_qa,review,,Do not call scientifically complete until QA source is located/reviewed.
DISC-031,STRICT-STEP-025,artifact_without_identified_merge_packet,review,,Check producer contract; some work roots are intermediate/archival.
DISC-032,TOUR-HQ-FINAL-HANDOFF_20260718,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/TOUR-HQ-FINAL-HANDOFF_20260718/MERGE_PACKET.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-033,URP4-1_HQ_SUBMISSION_AUDIT_20260728,completed_artifact_without_identified_independent_qa,review,experiments/lab_001_xy_connection_20260626/results/URP4-1_HQ_SUBMISSION_AUDIT_20260728/MERGE_PACKET.md,Do not call scientifically complete until QA source is located/reviewed.
DISC-034,HQ-SUBMISSION,release_cutoff_older_than_current_strict_runs,confirmed,URP4-1_SUBMISSION_20260728_v0_1 vs STRICT-STEP-021..026,Do not represent submission ZIP as current scientific state; this cutoff v1.0 separates them.
